dataset,nodes,ratio
train,0,59.66174816481175 
train,1,31.861236088089033  
train,2,6.979635330333886
train,3,1.2561419606914517
train,4,0.1879587970636988
train,5,0.034039782145394264
train,6,0.008139947904333412
train,7,0.002959981056121241
train,8,0.0025899834241060854
train,12,0.0014799905280606204
train,11,0.0007399952640303102 
train,13,0.0007399952640303102
train,14,0.0007399952640303102
train,17,0.0007399952640303102
train,9,0.0003699976320151551
train,18,0.0003699976320151551
train,30,0.0003699976320151551
train,10,0.0
train,15,0.0
train,16,0.0
train,19,0.0
train,20,0.0
train,21,0.0
train,22,0.0
train,23,0.0
val,0,59.336798121417225
val,1,32.294184681262514
val,2,6.93763381448995
val,3,1.1896539816285654
val,4,0.20374335244146696
val,5,0.023309620830167826
val,8,0.004316596450031079
val,7,0.0025899578700186478
val,9,0.0017266385800124317
val,10,0.0017266385800124317
val,6,0.0008633192900062159
val,32,0.0008633192900062159
val,34,0.0008633192900062159
val,25,0.0008633192900062159
val,24,0.0008633192900062159
val,11,0.0
val,12,0.0
val,13,0.0
val,14,0.0
val,15,0.0
val,16,0.0
val,17,0.0
val,18,0.0
val,19,0.0
val,20,0.0
val,21,0.0
val,22,0.0
val,23,0.0
test,0,59.37695865902109
test,1,32.14039667863229
test,2,7.00377616509456
test,3,1.238001999450928
test,4,0.1885492584937815
test,5,0.03315151797692861
test,6,0.006733902089063625
test,7,0.005697917152284606
test,12,0.001553977405168529
test,8,0.0010359849367790191
test,11,0.0010359849367790191
test,9,0.0005179924683895096
test,10,0.0005179924683895096
test,13,0.0005179924683895096
test,14,0.0005179924683895096
test,21,0.0005179924683895096
test,24,0.0005179924683895096
test,15,0.0
test,16,0.0
test,17,0.0
test,18,0.0
test,19,0.0
test,20,0.0
test,22,0.0
test,23,0.0
